dataset,k,n,src_mean,taot_mean,delta,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
Digits,1,15,0.4586666666666666,0.5286666666666666,0.07000000000000002,5.302334778035112,0.00011169515292037719,5.0,0.0017815591405881395
Digits,2,15,0.5506666666666666,0.6506666666666665,0.1,6.877303054053769,7.5945743445806294e-06,0.0,0.000636992151797346
Digits,3,15,0.6039999999999999,0.706,0.102,8.232131563236926,9.80080541879983e-07,0.0,0.0006483852534615971
Digits,5,15,0.6753333333333331,0.7600000000000001,0.08466666666666667,7.555089218807783,2.6485132705138883e-06,0.0,0.0006451158437926242
Digits,10,15,0.7266666666666666,0.8273333333333334,0.10066666666666665,11.093177937893083,2.5470359755243293e-08,0.0,0.0006500242387180628
LFW-Face,1,15,0.6666666666666666,0.7011111111111111,0.03444444444444445,1.2278517424304578,0.2397471485179219,35.5,0.2852874050001406
LFW-Face,2,15,0.772222222222222,0.8366666666666666,0.06444444444444444,4.7744885130735675,0.00029645372128931117,1.5,0.0008476901609329294
LFW-Face,3,15,0.8022222222222222,0.8600000000000001,0.057777777777777754,3.7061906395386317,0.0023483623095288094,12.5,0.006854704814253934
LFW-Face,5,15,0.8422222222222223,0.898888888888889,0.05666666666666665,4.794646635951012,0.00028542230963307907,2.0,0.0014867196140618646
LFW-Face,10,15,0.8699999999999999,0.9077777777777776,0.037777777777777785,3.606888728842469,0.002859136185376228,2.0,0.003558285561262266
