dataset,k,method,mean,std
Digits,1,SRC-L2,0.4586666666666666,0.055144830954064784
Digits,1,NN-L1-SRC,0.4613333333333333,0.05276181880687515
Digits,1,CRC-L2,0.45133333333333336,0.05040786030920557
Digits,1,LinearOT-SRC,0.426,0.07336795719424895
Digits,1,CircularOT-SRC,0.48933333333333323,0.08319226154488399
Digits,1,CircularOT-1NN,0.5173333333333334,0.0844703385528796
Digits,1,RBF-SVM,0.44,0.05331845030434721
Digits,1,GS-SRC-linear,0.458,0.08368307560586635
Digits,1,GS-SRC-circular,0.5286666666666666,0.06334335760267963
Digits,1,GS-effective-atoms,1.0,0.0
Digits,2,SRC-L2,0.5506666666666666,0.0500666222813829
Digits,2,NN-L1-SRC,0.5546666666666668,0.05069047059876056
Digits,2,CRC-L2,0.5533333333333333,0.041861449477782676
Digits,2,LinearOT-SRC,0.5399999999999999,0.04840306956027833
Digits,2,CircularOT-SRC,0.6126666666666668,0.05270763927643922
Digits,2,CircularOT-1NN,0.6173333333333333,0.0623889489603804
Digits,2,RBF-SVM,0.57,0.055032457955023484
Digits,2,GS-SRC-linear,0.5800000000000001,0.05756983337031394
Digits,2,GS-SRC-circular,0.6506666666666665,0.060292935699284844
Digits,2,GS-effective-atoms,1.6351020812988282,0.03304602229967794
Digits,3,SRC-L2,0.6039999999999999,0.05395765535518171
Digits,3,NN-L1-SRC,0.608,0.050878005351737476
Digits,3,CRC-L2,0.6166666666666667,0.04654746681256314
Digits,3,LinearOT-SRC,0.5986666666666668,0.04307247491424303
Digits,3,CircularOT-SRC,0.6566666666666665,0.042201331506865766
Digits,3,CircularOT-1NN,0.6780000000000002,0.051989009827627435
Digits,3,RBF-SVM,0.6373333333333334,0.04963677592077796
Digits,3,GS-SRC-linear,0.6473333333333334,0.05470265946351194
Digits,3,GS-SRC-circular,0.706,0.0633358395494097
Digits,3,GS-effective-atoms,2.051094118754069,0.06949207249802647
Digits,5,SRC-L2,0.6753333333333331,0.034613512362879864
Digits,5,NN-L1-SRC,0.6713333333333333,0.03777124126457411
Digits,5,CRC-L2,0.6846666666666668,0.0427395211328656
Digits,5,LinearOT-SRC,0.6553333333333333,0.04120795115138869
Digits,5,CircularOT-SRC,0.7240000000000001,0.03996426975615667
Digits,5,CircularOT-1NN,0.7219999999999999,0.05045507195232493
Digits,5,RBF-SVM,0.7126666666666666,0.040438077294031864
Digits,5,GS-SRC-linear,0.7173333333333332,0.052435901913896805
Digits,5,GS-SRC-circular,0.7600000000000001,0.05250850271282602
Digits,5,GS-effective-atoms,2.599994436899821,0.07660572930817948
Digits,10,SRC-L2,0.7266666666666666,0.03538899479189757
Digits,10,NN-L1-SRC,0.7279999999999999,0.03668397859712446
Digits,10,CRC-L2,0.7479999999999999,0.04195235392680607
Digits,10,LinearOT-SRC,0.72,0.04825527358301295
