dataset,rotation,method,mean,std
Digits,0,SRC-L2,0.6753333333333331,0.034613512362879864
Digits,0,NN-L1-SRC,0.6713333333333333,0.03777124126457411
Digits,0,CRC-L2,0.6846666666666668,0.0427395211328656
Digits,0,LinearOT-SRC,0.6553333333333333,0.04120795115138869
Digits,0,CircularOT-SRC,0.7240000000000001,0.03996426975615667
Digits,0,CircularOT-1NN,0.7219999999999999,0.05045507195232493
Digits,0,RBF-SVM,0.7126666666666666,0.040438077294031864
Digits,0,GS-SRC-linear,0.7173333333333332,0.052435901913896805
Digits,0,GS-SRC-circular,0.7600000000000001,0.05250850271282602
Digits,10,SRC-L2,0.44599999999999995,0.050681075645367175
Digits,10,NN-L1-SRC,0.4586666666666667,0.04763951940903486
Digits,10,CRC-L2,0.46733333333333327,0.05675343497051419
Digits,10,LinearOT-SRC,0.20466666666666666,0.045334733871923154
Digits,10,CircularOT-SRC,0.37333333333333335,0.0668331255192114
Digits,10,CircularOT-1NN,0.44,0.06729466121893644
Digits,10,RBF-SVM,0.4466666666666666,0.05563486402641867
Digits,10,GS-SRC-linear,0.29533333333333334,0.036619016657365076
Digits,10,GS-SRC-circular,0.5573333333333333,0.05364788195348663
Digits,20,SRC-L2,0.4046666666666667,0.05436210164478646
Digits,20,NN-L1-SRC,0.396,0.04702582876918354
Digits,20,CRC-L2,0.4093333333333333,0.06099960967868877
Digits,20,LinearOT-SRC,0.17933333333333332,0.0439913411393435
Digits,20,CircularOT-SRC,0.33666666666666667,0.0443471156521669
Digits,20,CircularOT-1NN,0.3853333333333334,0.06034030478007532
Digits,20,RBF-SVM,0.398,0.04329302154257328
Digits,20,GS-SRC-linear,0.26666666666666666,0.04353433237386437
Digits,20,GS-SRC-circular,0.48466666666666663,0.049550359183744536
LFW-Face,0,SRC-L2,0.8422222222222223,0.06326646428120905
LFW-Face,0,NN-L1-SRC,0.8422222222222223,0.058711923380944914
LFW-Face,0,CRC-L2,0.8388888888888889,0.06225481006043929
LFW-Face,0,LinearOT-SRC,0.7833333333333332,0.043186564636231085
LFW-Face,0,CircularOT-SRC,0.8266666666666667,0.0566246342712181
LFW-Face,0,CircularOT-1NN,0.8077777777777777,0.045367400831445685
LFW-Face,0,RBF-SVM,0.868888888888889,0.053772989423449304
LFW-Face,0,GS-SRC-linear,0.8811111111111111,0.05734422192653577
LFW-Face,0,GS-SRC-circular,0.898888888888889,0.040564795642313356
LFW-Face,10,SRC-L2,0.6799999999999999,0.09783367810436533
LFW-Face,10,NN-L1-SRC,0.6811111111111111,0.09104042941660473
LFW-Face,10,CRC-L2,0.6944444444444444,0.08443713418650367
LFW-Face,10,LinearOT-SRC,0.698888888888889,0.08200529083460241
LFW-Face,10,CircularOT-SRC,0.7866666666666667,0.06877614942811738
LFW-Face,10,CircularOT-1NN,0.7622222222222222,0.05823688171197349
LFW-Face,10,RBF-SVM,0.84,0.10347148982376357
LFW-Face,10,GS-SRC-linear,0.7644444444444445,0.11301542714376109
LFW-Face,10,GS-SRC-circular,0.82,0.10525856297406438
LFW-Face,20,SRC-L2,0.6900000000000002,0.07963209052429707
LFW-Face,20,NN-L1-SRC,0.6877777777777776,0.07545277790195463
LFW-Face,20,CRC-L2,0.7055555555555556,0.08301526601495893
LFW-Face,20,LinearOT-SRC,0.6944444444444445,0.07117680497281095
LFW-Face,20,CircularOT-SRC,0.7422222222222224,0.06867991858564786
LFW-Face,20,CircularOT-1NN,0.6911111111111111,0.05377298942344931
LFW-Face,20,RBF-SVM,0.8044444444444444,0.0676905501677345
LFW-Face,20,GS-SRC-linear,0.77,0.08979694907674796
LFW-Face,20,GS-SRC-circular,0.7922222222222224,0.06167846305018313
