SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,GS-effective-atoms,dataset,k,seed
0.47,0.47,0.49,0.45,0.56,0.57,0.46,0.5,0.56,1.0,Digits,1,5
0.38,0.38,0.37,0.41,0.42,0.45,0.4,0.42,0.49,1.0,Digits,1,6
0.5,0.5,0.49,0.33,0.41,0.41,0.47,0.41,0.45,1.0,Digits,1,7
0.42,0.43,0.41,0.44,0.51,0.53,0.46,0.48,0.52,1.0,Digits,1,8
0.52,0.53,0.5,0.44,0.54,0.57,0.47,0.51,0.6,1.0,Digits,1,9
0.54,0.54,0.53,0.44,0.5,0.52,0.46,0.44,0.52,1.0,Digits,1,10
0.43,0.43,0.42,0.43,0.42,0.49,0.44,0.47,0.46,1.0,Digits,1,11
0.44,0.44,0.44,0.38,0.49,0.53,0.48,0.45,0.55,1.0,Digits,1,12
0.51,0.5,0.48,0.55,0.68,0.68,0.49,0.59,0.62,1.0,Digits,1,13
0.42,0.42,0.41,0.5,0.47,0.5,0.37,0.53,0.51,1.0,Digits,1,14
0.49,0.5,0.46,0.48,0.5,0.54,0.46,0.49,0.56,1.0,Digits,1,15
0.35,0.37,0.36,0.25,0.34,0.36,0.3,0.22,0.42,1.0,Digits,1,16
0.48,0.48,0.46,0.41,0.48,0.5,0.42,0.45,0.52,1.0,Digits,1,17
0.51,0.51,0.51,0.5,0.59,0.66,0.51,0.52,0.65,1.0,Digits,1,18
0.42,0.42,0.44,0.38,0.43,0.45,0.41,0.39,0.5,1.0,Digits,1,19
0.64,0.63,0.64,0.58,0.61,0.64,0.56,0.61,0.73,1.6247971057891846,Digits,2,5
0.51,0.52,0.57,0.53,0.62,0.59,0.58,0.55,0.61,1.6599442958831787,Digits,2,6
0.57,0.57,0.56,0.48,0.54,0.56,0.6,0.6,0.64,1.6618252992630005,Digits,2,7
0.56,0.56,0.53,0.55,0.57,0.61,0.57,0.57,0.6,1.5922213792800903,Digits,2,8
0.55,0.57,0.53,0.5,0.67,0.67,0.56,0.54,0.65,1.644791603088379,Digits,2,9
