SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,dataset,rotation,seed
0.72,0.73,0.73,0.67,0.76,0.76,0.77,0.73,0.82,Digits,0,5
0.6,0.59,0.65,0.55,0.63,0.66,0.67,0.63,0.63,Digits,0,6
0.69,0.68,0.74,0.64,0.74,0.71,0.73,0.71,0.76,Digits,0,7
0.64,0.66,0.62,0.67,0.69,0.76,0.73,0.75,0.78,Digits,0,8
0.7,0.68,0.72,0.7,0.76,0.77,0.7,0.68,0.73,Digits,0,9
0.67,0.69,0.7,0.64,0.72,0.66,0.71,0.68,0.76,Digits,0,10
0.63,0.61,0.61,0.62,0.7,0.64,0.62,0.72,0.71,Digits,0,11
0.7,0.69,0.72,0.65,0.71,0.72,0.76,0.68,0.78,Digits,0,12
0.69,0.7,0.73,0.69,0.72,0.76,0.68,0.82,0.74,Digits,0,13
0.63,0.63,0.65,0.63,0.75,0.76,0.75,0.68,0.79,Digits,0,14
0.7,0.71,0.7,0.73,0.81,0.8,0.75,0.82,0.86,Digits,0,15
0.71,0.67,0.71,0.64,0.72,0.67,0.69,0.69,0.77,Digits,0,16
0.68,0.65,0.66,0.68,0.73,0.71,0.74,0.76,0.79,Digits,0,17
0.69,0.69,0.69,0.65,0.72,0.77,0.71,0.71,0.72,Digits,0,18
0.68,0.69,0.64,0.67,0.7,0.68,0.68,0.7,0.76,Digits,0,19
0.46,0.47,0.47,0.21,0.33,0.44,0.4,0.27,0.56,Digits,10,5
0.41,0.42,0.4,0.19,0.32,0.32,0.42,0.28,0.57,Digits,10,6
0.47,0.49,0.46,0.12,0.32,0.44,0.45,0.26,0.52,Digits,10,7
0.42,0.43,0.42,0.16,0.35,0.45,0.4,0.36,0.55,Digits,10,8
0.39,0.42,0.42,0.23,0.38,0.48,0.34,0.28,0.54,Digits,10,9
0.45,0.46,0.54,0.17,0.32,0.39,0.41,0.29,0.5,Digits,10,10
0.49,0.5,0.49,0.18,0.4,0.41,0.49,0.22,0.53,Digits,10,11
0.56,0.57,0.56,0.28,0.54,0.56,0.55,0.3,0.69,Digits,10,12
0.37,0.38,0.42,0.17,0.38,0.47,0.39,0.27,0.54,Digits,10,13
0.53,0.52,0.55,0.26,0.51,0.59,0.49,0.31,0.63,Digits,10,14
0.45,0.43,0.49,0.18,0.32,0.43,0.43,0.29,0.58,Digits,10,15
0.42,0.44,0.39,0.28,0.36,0.38,0.48,0.35,0.49,Digits,10,16
0.42,0.44,0.41,0.2,0.34,0.42,0.45,0.29,0.5,Digits,10,17
0.43,0.48,0.52,0.21,0.36,0.42,0.48,0.32,0.55,Digits,10,18
0.42,0.43,0.47,0.23,0.37,0.4,0.52,0.34,0.61,Digits,10,19
0.39,0.39,0.47,0.26,0.37,0.38,0.38,0.31,0.51,Digits,20,5
0.43,0.4,0.36,0.14,0.3,0.28,0.36,0.23,0.49,Digits,20,6
0.39,0.33,0.46,0.12,0.28,0.39,0.43,0.21,0.37,Digits,20,7
0.4,0.39,0.37,0.13,0.32,0.43,0.36,0.32,0.43,Digits,20,8
0.3,0.34,0.32,0.22,0.38,0.45,0.32,0.25,0.4,Digits,20,9
0.46,0.45,0.49,0.15,0.32,0.42,0.41,0.29,0.52,Digits,20,10
0.43,0.4,0.43,0.13,0.34,0.34,0.39,0.2,0.48,Digits,20,11
0.45,0.42,0.43,0.21,0.42,0.45,0.36,0.23,0.5,Digits,20,12
0.32,0.34,0.32,0.23,0.34,0.43,0.37,0.29,0.47,Digits,20,13
0.45,0.45,0.46,0.18,0.33,0.41,0.49,0.27,0.51,Digits,20,14
0.48,0.49,0.46,0.18,0.33,0.4,0.41,0.27,0.5,Digits,20,15
0.37,0.37,0.38,0.17,0.33,0.31,0.4,0.24,0.5,Digits,20,16
0.33,0.34,0.31,0.14,0.24,0.27,0.4,0.23,0.5,Digits,20,17
0.44,0.4,0.46,0.2,0.38,0.45,0.46,0.33,0.54,Digits,20,18
0.43,0.43,0.42,0.23,0.37,0.37,0.43,0.33,0.55,Digits,20,19
