seed,SRC-L2,NN-L1-SRC,GS-SRC-Euclidean,GS-SRC-Geodesic
0,0.72,0.7333333333333333,0.7866666666666666,0.8066666666666666
1,0.7066666666666667,0.6933333333333334,0.7266666666666667,0.7933333333333333
2,0.7066666666666667,0.72,0.72,0.84
3,0.7333333333333333,0.7266666666666667,0.6866666666666666,0.7466666666666667
4,0.66,0.64,0.5533333333333333,0.7133333333333334
5,0.68,0.7,0.6533333333333333,0.7733333333333333
6,0.7066666666666667,0.7066666666666667,0.56,0.7666666666666667
7,0.7466666666666667,0.7533333333333333,0.7666666666666667,0.7933333333333333
8,0.7133333333333334,0.7133333333333334,0.6533333333333333,0.8133333333333334
9,0.7066666666666667,0.7466666666666667,0.7533333333333333,0.78
10,0.6866666666666666,0.7,0.6933333333333334,0.7666666666666667
11,0.7866666666666666,0.78,0.7666666666666667,0.76
12,0.7933333333333333,0.8,0.8133333333333334,0.8333333333333334
13,0.7266666666666667,0.7333333333333333,0.6866666666666666,0.78
14,0.7,0.72,0.6466666666666666,0.7666666666666667
15,0.7466666666666667,0.7466666666666667,0.7,0.7666666666666667
16,0.7,0.7133333333333334,0.64,0.7266666666666667
17,0.72,0.72,0.6533333333333333,0.74
18,0.7133333333333334,0.72,0.64,0.7133333333333334
19,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.76
